11,JC31,"Jamaica College ",2,2011-03-04,2025-05-08,1,14,0,0,1,0,0,0,1,1,0,0,2,,2,3,3,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,,1,1,0,1,1,1,1,0,1,1,0,0,0,0,,,,,3,2,2,1,0,2,1,3,1,0,0,0,0,0,0,1,"For fun",1,0,0,0,0,5,4,3,2,5,4,3,2,3,3,3,1,2,2,4,5,5,1,2,4,2,1,2,1,2,2,5,5,2,2,2,2,3,4,4,2,4,3,1,1,4,4,1,3,4,1,3,2,3,3,3,2,3,4,1,1,2,1,0,0,1,2,1,1,2,1,0,0,1,1,1,0,2,0,0,Mother,4,1,4,3,2,3,4,3,1,1,3,3,1,1,2,1,2,3,3,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,2,4,4,4,4,1,2,3,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,,2
12,JC47,"Jamaica College ",3,2010-09-08,2025-05-08,1,14,1,0,1,0,0,0,0,1,0,0,1,1,,4,4,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,,1,2,0,1,1,0,1,0,1,0,0,0,0,0,,,,,3,3,2,1,1,3,1,4,4,1,1,0,0,0,0,0,,1,0,0,0,0,5,5,4,1,4,2,4,2,3,5,2,3,5,1,5,2,5,1,3,2,4,1,4,1,3,3,4,4,4,5,4,4,4,2,4,1,5,5,3,3,4,4,1,2,3,2,4,1,1,4,4,2,4,4,1,1,0,1,1,2,3,3,1,0,1,1,0,0,3,0,0,1,1,0,0,Father,4,1,4,3,3,3,4,3,1,1,3,4,3,3,3,4,3,4,1,2,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,5,1,5,2,2,5,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,2
13,JC12,"JAMAICA COLLEGE",1,2012-07-22,2025-05-08,1,12,1,0,1,0,0,0,0,0,0,0,1,1,,4,5,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,,1,2,0,1,0,0,1,0,1,0,0,0,0,0,,,,,2,2,2,1,1,1,1,4,2,0,0,0,0,0,0,1,"For fun",0,0,0,0,1,4,2,3,2,4,2,3,2,3,4,4,3,2,4,4,4,4,1,3,2,4,1,1,1,3,3,3,4,3,4,4,3,4,4,4,1,3,4,3,3,5,4,1,3,4,2,3,2,2,3,3,2,3,3,2,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,Mother,3,1,4,2,1,1,3,2,2,1,3,3,1,2,3,1,1,3,2,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,3,4,4,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,2
14,JC36,"Jamaica college ",2,2012-01-14,2025-05-08,1,13,1,0,1,0,0,0,0,0,0,0,1,1,,4,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,,1,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,,3,4,2,1,1,1,1,5,2,0,0,0,0,0,0,1,"For fun",1,1,0,0,1,4,3,3,1,3,2,2,1,3,3,5,3,1,1,5,5,3,1,4,3,3,1,1,1,3,2,4,2,3,3,3,3,,1,3,1,5,5,1,5,3,4,1,4,4,2,1,3,3,2,2,3,2,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,2,0,0,"Bot parents",3,1,4,2,2,2,2,1,2,2,4,3,1,1,2,1,4,2,2,1,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,1,5,3,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,"I started talking to a girl in a group that I am in and I feel that she likes me.",2
15,JC49,JC,3,2009-12-29,2025-05-08,1,15,1,0,0,0,0,0,1,1,0,0,2,,1,5,3,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,,1,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,,3,4,0,1,0,1,1,4,1,1,1,1,0,0,0,0,,0,0,0,0,1,5,5,4,1,5,5,4,3,5,5,5,5,5,2,5,4,5,1,1,2,5,1,3,1,3,2,5,3,2,3,5,3,3,5,4,1,4,4,3,3,4,4,1,2,4,2,3,2,2,4,3,2,3,3,2,1,0,1,0,0,1,0,0,0,3,3,1,0,3,0,0,1,1,0,0,Both,4,1,4,1,2,1,4,2,2,1,4,4,2,2,2,1,3,3,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,2
16,Test2,,2,,2025-05-08,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,JC09,"Jamaica College ",1,2012-12-22,2025-05-08,1,13,1,0,1,0,1,1,0,0,1,0,1,1,,3,3,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,5,,7,1,0,1,0,0,1,0,1,0,0,1,0,0,,,,,3,2,2,1,1,1,1,3,3,0,0,0,0,0,0,1,"I use social media as a form entertainment ",1,0,0,0,0,5,5,1,1,5,4,2,5,4,2,2,1,4,1,5,5,3,1,1,1,2,1,1,1,4,3,4,5,5,5,4,4,4,5,5,1,5,4,5,1,4,4,1,4,3,1,3,1,1,4,4,1,1,4,1,2,1,1,0,0,0,0,3,0,0,3,1,0,3,0,0,0,2,0,0,"My father",4,1,4,1,1,1,4,4,1,1,4,4,3,1,3,1,1,4,4,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,5,4,4,5,2,2,5,1,4,5,4,4,4,4,4,5,4,4,1,1,1,1,1,1,0,,2
18,JC26,"Jamaica collage",2,2011-01-05,2025-05-08,1,14,1,0,1,0,0,1,0,1,0,0,1,2,,4,4,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,,1,2,0,1,1,1,1,1,1,0,0,0,0,0,,,,,3,3,0,1,0,1,2,3,2,0,1,0,0,0,0,0,,1,0,0,1,1,5,5,3,3,5,5,4,3,4,5,4,5,4,2,5,4,5,1,2,1,5,1,1,1,3,3,4,3,,5,5,5,5,5,4,,,5,4,2,4,4,1,3,3,2,3,3,2,3,3,3,2,3,2,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,"Both parents ",3,1,4,1,2,3,3,2,1,2,3,3,2,1,3,1,1,3,3,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,2
19,JC04,"Jamaica College",1,2012-10-14,2025-05-08,1,12,0,0,1,0,0,0,0,0,0,0,2,,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,,1,2,0,1,1,1,1,0,1,0,0,0,0,0,,,,,3,2,0,1,1,1,1,3,4,1,1,0,0,0,0,0,,1,1,0,0,1,4,4,2,2,4,4,3,2,4,5,5,3,5,2,5,4,5,1,1,3,3,1,3,1,3,3,5,5,3,4,4,5,4,4,5,1,4,4,5,3,5,4,1,2,4,1,4,1,1,4,4,1,2,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,"Both ",4,1,4,1,1,1,3,1,1,1,3,3,1,1,3,1,1,3,4,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,3,3,4,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,,2
20,JC24,"Jamaica College ",2,2011-06-24,2025-05-08,1,"13 years old",0,0,1,0,0,0,1,1,0,0,2,,3,4,4,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,,1,1,0,1,1,0,1,0,1,0,0,0,0,0,,,,,3,3,2,1,1,2,1,2,2,1,1,1,0,0,0,0,,1,1,0,1,1,4,4,4,1,4,4,4,1,5,4,4,5,2,4,4,4,2,1,1,4,1,1,1,1,3,3,5,4,4,4,4,5,5,2,5,1,4,5,4,2,5,4,1,4,3,1,4,1,1,4,4,1,1,3,1,0,0,0,0,1,1,0,1,1,1,3,0,0,1,0,0,1,2,0,0,"Mom and Dad",3,2,4,2,2,1,4,2,2,1,3,3,3,2,3,2,3,3,3,3,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,1,4,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,2
